JDC,PARISH,AGE,CHARGE,Victim Crime
24,JEFFERSON,59 years,"RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:64 Armed Robbery, RS 14:64.1 First Degree Robbery, RS 14:44.1 — Second degree kidnapping",
24,JEFFERSON,Invalid date,RS 14.31 Manslaughter,
24,JEFFERSON,38 years,RS 14:64 Armed Robbery,
24,JEFFERSON,Invalid date,RS 14:64 Armed Robbery,
24,JEFFERSON,64 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
24,JEFFERSON,36 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,54 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
24,JEFFERSON,Invalid date,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,33 years,RS 14.31 Manslaughter,
24,JEFFERSON,47 years,"RS 14:44.1 — Second degree kidnapping, RS 14:64 Armed Robbery",
24,JEFFERSON,40 years,RS 14:64 Armed Robbery,
24,JEFFERSON,73 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,Invalid date,RS 14.42 Aggravated Rape / First Degree Rape,
24,JEFFERSON,34 years,RS 14:64 Armed Robbery,
24,JEFFERSON,37 years,RS 14.31 Manslaughter,
24,JEFFERSON,72 years,"RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:30.1 Second Degree Murder",
24,JEFFERSON,Invalid date,RS 14:64 Armed Robbery,
24,JEFFERSON,52 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,53 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
24,JEFFERSON,Invalid date,RS 14.42 Aggravated Rape / First Degree Rape,
24,JEFFERSON,46 years,RS 14.42 Aggravated Rape / First Degree Rape,
24,JEFFERSON,33 years,RS 14.31 Manslaughter,
24,JEFFERSON,53 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,60 years,"RS 14:64 Armed Robbery, RS 14:64.1 First Degree Robbery",
24,JEFFERSON,Invalid date,RS 14.42 Aggravated Rape / First Degree Rape,
24,JEFFERSON,48 years,RS 14:64 Armed Robbery,
24,JEFFERSON,48 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,42 years,"RS 14.42 Aggravated Rape / First Degree Rape, ""RS 14:43.1 Sexual battery,""",
24,JEFFERSON,37 years,"RS 14:30.1 Second Degree Murder, RS 14:95.1 Felon in Possession of a Firearm",
24,JEFFERSON,32 years,RS 14.31 Manslaughter,
24,JEFFERSON,38 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,51 years,"RS: 1238.1 Sale distribution or possession of legend drug without prescription, RS 40:966 Distribution Schedule I",
24,JEFFERSON,40 years,"RS 14:60 Aggravated Burglary, RS 14:95.1 Felon in Possession of a Firearm, RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
24,JEFFERSON,48 years,RS 14:62.2 - Simple burglary of an inhabited dwelling,
24,JEFFERSON,34 years,RS 14.31 Manslaughter,
24,JEFFERSON,40 years,"RS 14:93 — Cruelty to juveniles, RS 14:30.1 Second Degree Murder",
24,JEFFERSON,56 years,"RS 14:64 Armed Robbery, RS 14:69 — Illegal possession of stolen things",
24,JEFFERSON,53 years,RS 14:42 Aggravated Rape of a Victim Under the Age of 13,
24,JEFFERSON,57 years,RS 14:64 Armed Robbery,
24,JEFFERSON,32 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:27 Attempt/ 14:34 Armed Robbery",
24,JEFFERSON,47 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,50 years,RS 14:64 Armed Robbery,
24,JEFFERSON,60 years,"RS 14:43.1 Sexual battery,, RS 14:81 - Indecent behavior with juveniles",
24,JEFFERSON,40 years,RS 14:64 Armed Robbery,
24,JEFFERSON,Invalid date,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,69 years,RS 14:64 Armed Robbery,
24,JEFFERSON,61 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,57 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,68 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:81.1 Pornography involving juveniles ",
24,JEFFERSON,38 years,RS 14:64 Armed Robbery,
24,JEFFERSON,Invalid date,RS 14.42 Aggravated Rape / First Degree Rape,
24,JEFFERSON,70 years,"RS 14:43.3 Oral Sexual Battery, RS 14.42 Aggravated Rape / First Degree Rape, ""RS 14:43.1 Sexual battery,"", RS 14:81.2 Molestation of a juvenile",
24,JEFFERSON,44 years,RS 14:64 Armed Robbery,
24,JEFFERSON,Invalid date,"RS 14:64 Armed Robbery, RS 14:34 Aggravated Battery, RS 14:27 Attempt/ 14:34 Armed Robbery",
24,JEFFERSON,48 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,46 years,RS 14:64 Armed Robbery,
24,JEFFERSON,32 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
24,JEFFERSON,Invalid date,"RS 14:64 Armed Robbery, RS 14:44 Aggravated Kidnapping",
24,JEFFERSON,50 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,39 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,44 years,"RS 14:95.1 Felon in Possession of a Firearm, RS 40:966 Distribution Schedule I",
24,JEFFERSON,51 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
24,JEFFERSON,52 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:81 - Indecent behavior with juveniles",
24,JEFFERSON,Invalid date,RS 14.42 Aggravated Rape / First Degree Rape,
24,JEFFERSON,37 years,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,Invalid date,"RS 14:44.1 — Second degree kidnapping, RS 14:64 Armed Robbery",
24,JEFFERSON,66 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
24,JEFFERSON,Invalid date,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:43.3 Oral Sexual Battery, RS 14:64 Armed Robbery",
24,JEFFERSON,61 years,RS 14:64 Armed Robbery,
24,JEFFERSON,49 years,RS 14:42.1 - Second degree rape / Forcible rape,
24,JEFFERSON,Invalid date,RS 14:30.1 Second Degree Murder,
24,JEFFERSON,74 years,RS 14.42 Aggravated Rape / First Degree Rape,
24,JEFFERSON,Invalid date,RS 14.42 Aggravated Rape / First Degree Rape,
25,PLAQUEMINES,60 years,RS 14:30.1 Second Degree Murder,
25,PLAQUEMINES,50 years,RS 14:81 - Indecent behavior with juveniles,
26,WEBSTER,55 years,RS 14.42 Aggravated Rape / First Degree Rape,
26,BOSSIER,61 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:89.1 Aggravated crime against nature",
26,BOSSIER,41 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
26,WEBSTER,60 years,"RS 40:983 Operation of a clandestine methamphetamine laboratory, RS 14:52 Simple Arson",
26,WEBSTER,40 years,RS 14:64 Armed Robbery,
26,WEBSTER,28 years,RS 14:95.1 Felon in Possession of a Firearm,
26,BOSSIER,44 years,RS 14:30.1 Second Degree Murder,
26,WEBSTER,64 years,RS 14.42 Aggravated Rape / First Degree Rape,
26,BOSSIER,47 years, RS 40:967 Distribution of a Schedule 2 Drug,No
26,WEBSTER,39 years,RS 14:30.1 Second Degree Murder,
26,BOSSIER,Invalid date,RS 14:64 Armed Robbery,
26,BOSSIER,Invalid date,RS 14:64 Armed Robbery,
26,BOSSIER,46 years,RS 14:30.1 Second Degree Murder,
26,WEBSTER,Invalid date,RS 14.42 Aggravated Rape / First Degree Rape,
26,WEBSTER,53 years,"RS 14:64 Armed Robbery, RS 14.31 Manslaughter",
26,WEBSTER,34 years,RS 14:78.1 Aggravated Incest (Repealed in 2014),
26,BOSSIER,Invalid date,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:64 Armed Robbery",
26,WEBSTER,Invalid date,"RS 14:110 Aggravated Escape, RS 14:34.1 Second Degree Battery",
27,ST. LANDRY,54 years,RS 14:30.1 Second Degree Murder,
27,ST. LANDRY,42 years,RS 14:30.1 Second Degree Murder,
27,ST. LANDRY,51 years,RS 14:30.1 Second Degree Murder,
27,ST. LANDRY,44 years,"RS 14.31 Manslaughter, RS 14:95.1 Felon in Possession of a Firearm",
27,ST. LANDRY,43 years,RS 14:30.1 Second Degree Murder,
27,ST. LANDRY,Invalid date,RS 14:30.1 Second Degree Murder,
27,ST. LANDRY,Invalid date,RS 14:30.1 Second Degree Murder,
27,ST. LANDRY,57 years,"RS 14:95.1 Felon in Possession of a Firearm, RS 14:64 Armed Robbery",
29,ST. CHARLES,48 years,RS 14:64 Armed Robbery,
29,ST. CHARLES,45 years,RS 14:30.1 Second Degree Murder,
29,ST. CHARLES,47 years,RS 14:64 Armed Robbery,
29,ST. CHARLES,Invalid date,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:60 Aggravated Burglary",
29,ST. CHARLES,31 years,RS 14:30.1 Second Degree Murder,
30,VERNON,37 years,"RS 14:30 First Degree Murder, RS 14:(26)64 conspiracy to commit armed robbery, RS 14:64 Armed Robbery",
30,VERNON,69 years,RS 14:30.1 Second Degree Murder,
30,VERNON,50 years,RS 14:30.1 Second Degree Murder,
30,VERNON,71 years,RS 14.42 Aggravated Rape / First Degree Rape,
30,VERNON,54 years,RS 14.42 Aggravated Rape / First Degree Rape,
31,JEFFERSON DAVIS,41 years,"RS 14.27 Attempt/ 14:30 First Degree, RS 14:95.1 Felon in Possession of a Firearm",
32,TERREBONNE,61 years,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,61 years,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,31 years,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,34 years,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,31 years,RS 14.27 Attempt/ 14:30 First Degree,
32,TERREBONNE,39 years,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,38 years,RS 14.31 Manslaughter,
32,TERREBONNE,31 years,RS 14.31 Manslaughter,
32,TERREBONNE,62 years,RS 14:81 - Indecent behavior with juveniles,
32,TERREBONNE,42 years,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,38 years,RS 40:966 Possession With Intent to Distribute Schedule I Drug,
32,TERREBONNE,51 years,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,60 years,RS 14.42 Aggravated Rape / First Degree Rape,
32,TERREBONNE,79 years,RS 14.42 Aggravated Rape / First Degree Rape,
32,TERREBONNE,38 years,"RS 14:30 First Degree Murder, RS 14:130.1 Obstruction of Justice, RS 14:95.1 Felon in Possession of a Firearm",
32,TERREBONNE,Invalid date,"RS 14.31 Manslaughter, RS 14:27 Attempt / 14.31 Manslaughter",
32,TERREBONNE,63 years,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,60 years,RS 14.42 Aggravated Rape / First Degree Rape,
32,TERREBONNE,65 years,RS 14.42 Aggravated Rape / First Degree Rape,
32,TERREBONNE,Invalid date,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
32,TERREBONNE,47 years,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,47 years,"RS 14:30.1 Second Degree Murder, RS 14.31 Manslaughter, RS 14:27 Attempt / 14.31 Manslaughter",
32,TERREBONNE,Invalid date,RS 14:30.1 Second Degree Murder,
32,TERREBONNE,30 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:64 Armed Robbery",
32,TERREBONNE,45 years,RS 14:30.1 Second Degree Murder,
33,ALLEN,63 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:78.1 Aggravated Incest (Repealed in 2014)",
33,ALLEN,61 years,RS 14:30.1 Second Degree Murder,
33,ALLEN,42 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
33,ALLEN,34 years,"RS 14.42 Aggravated Rape / First Degree Rape, ""RS 14:43.1 Sexual battery,"", RS 14:81 - Indecent behavior with juveniles",
33,ALLEN,57 years,"RS 14:130.1 Obstruction of Justice, RS 14:30.1 Second Degree Murder",
33,ALLEN,59 years,"RS 14:30.1 Second Degree Murder, RS 14:95.1 Felon in Possession of a Firearm",
33,ALLEN,69 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:81.2 Molestation of a juvenile, RS 14:81 - Indecent behavior with juveniles",
33,ALLEN,48 years,"RS 14:64 Armed Robbery, RS 14:(26)64 conspiracy to commit armed robbery, RS 14:130.1 Obstruction of Justice",
34,ST. BERNARD,Invalid date,RS 14:27 Attempt/14:30.1 Second Degree Murder,
34,ST. BERNARD,70 years,RS 14:30.1 Second Degree Murder,
34,ST. BERNARD,4 years,RS 14:30.1 Second Degree Murder,
35,GRANT,36 years,RS 14.51 Aggravated Arson,
36,BEAUREGARD,59 years,RS 14:30.1 Second Degree Murder,
36,BEAUREGARD,48 years,RS 14.31 Manslaughter,
36,BEAUREGARD,75 years,RS 14:30.1 Second Degree Murder,
37,CALDWELL,45 years,RS 14:64 Armed Robbery,
37,CALDWELL,58 years,RS 14:30.1 Second Degree Murder,
37,CALDWELL,Invalid date," RS 40:967 Distribution of a Schedule 2 Drug, RS 40:967 Possession of a Schedule 2 Drug",No
38,CAMERON,77 years,RS 14:30.1 Second Degree Murder,
39,RED RIVER,49 years,RS 14.31 Manslaughter,
40,ST. JOHN THE BAPTIST,38 years,"RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:30.1 Second Degree Murder",
40,ST. JOHN THE BAPTIST,42 years,RS 14:30.1 Second Degree Murder,
40,ST. JOHN THE BAPTIST,53 years,RS 14:30.1 Second Degree Murder,
40,ST. JOHN THE BAPTIST,58 years,RS 14:34 Aggravated Battery,
40,ST. JOHN THE BAPTIST,55 years,RS 14:30.1 Second Degree Murder,
40,ST. JOHN THE BAPTIST,36 years,"RS 14:27 Attempt/ 14:34 Armed Robbery, RS 14:64 Armed Robbery",
40,ST. JOHN THE BAPTIST,45 years,RS 14:30.1 Second Degree Murder,
40,ST JOHN THE BAPTIST,58 years,"RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:44.1 — Second degree kidnapping",
41,ORLEANS,64 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,40 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,72 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,33 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,59 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,67 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:64 Armed Robbery",
41,ORLEANS,62 years,RS 14:64 Armed Robbery,
41,ORLEANS,33 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,76 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,68 years,RS 14:64 Armed Robbery,
41,ORLEANS,47 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
41,ORLEANS,49 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:44.1 — Second degree kidnapping, RS 14:42.1 - Second degree rape / Forcible rape",
41,ORLEANS,51 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,44 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,55 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,51 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,50 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,36 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
41,ORLEANS,55 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,73 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:89.1 Aggravated crime against nature, RS 14:44.1 — Second degree kidnapping",
41,ORLEANS,70 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,71 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,57 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:64 Armed Robbery",
41,ORLEANS,56 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:44 Aggravated Kidnapping",
41,ORLEANS,52 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,78 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,78 years,RS 14:30 First Degree Murder,
41,ORLEANS,49 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,47 years,"RS 14:95.1 Felon in Possession of a Firearm, RS 14:62 Simple Burglary ",
41,ORLEANS,34 years,"RS 14:64 Armed Robbery, RS 14.42 Aggravated Rape / First Degree Rape",
41,ORLEANS,70 years,RS 14:30 First Degree Murder,
41,ORLEANS,38 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,44 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
41,ORLEANS,45 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,38 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,35 years,RS 14.31 Manslaughter,
41,ORLEANS,69 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,48 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,60 years,RS 14:43 Simple (Third Degree) Rape,
41,ORLEANS,52 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,45 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,48 years,RS 14:62.8 Home Invasion,
41,ORLEANS,64 years,RS 15:542.1.4 Failure to Register as a sex offender,
41,ORLEANS,62 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:60 Aggravated Burglary",
41,ORLEANS,59 years,RS 14:43 Simple (Third Degree) Rape,
41,ORLEANS,37 years,RS 14:64.4 Second Degree Robbery,
41,ORLEANS,43 years,RS 14.31 Manslaughter,
41,ORLEANS,36 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
41,ORLEANS,52 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,43 years,"RS 14:34.1 Second Degree Battery, RS 14:43 Simple (Third Degree) Rape",
41,ORLEANS,30 years,RS 14:64 Armed Robbery,
41,ORLEANS,65 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,55 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14.27 Attempt/ RS 14.44 Aggravated Kidnapping",
41,ORLEANS,48 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,64 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
41,ORLEANS,53 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
41,ORLEANS,60 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14:42.1 - Second degree rape / Forcible rape",
41,ORLEANS,59 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
41,ORLEANS,51 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,42 years,RS 14.31 Manslaughter,
41,ORLEANS,59 years,RS 14:27 Attempt / 14.31 Manslaughter,
41,ORLEANS,59 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,37 years,"RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:95.1 Felon in Possession of a Firearm",
41,ORLEANS,43 years,"RS 14:27 Attempt/14:30.1 Second Degree Murder, RS 14:95.1 Felon in Possession of a Firearm",
41,ORLEANS,66 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,44 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,60 years,RS 14.27 Attempt/ RS 14.42 Aggravated Rape,
41,ORLEANS,41 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,46 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,39 years,"RS 14:30.1 Second Degree Murder, RS 14:27 Attempt/14:30.1 Second Degree Murder",
41,ORLEANS,77 years,"RS 14:89.1 Aggravated crime against nature, RS 14:42.1 - Second degree rape / Forcible rape, ""RS 14:43.1 Sexual battery,""",
41,ORLEANS,52 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,42 years,RS 14:27 Attempt/14:30.1 Second Degree Murder,
41,ORLEANS,58 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,67 years,RS 14:30 First Degree Murder,
41,ORLEANS,71 years,"RS 14.42 Aggravated Rape / First Degree Rape, RS 14.27 Attempt/ RS 14.42 Aggravated Rape, RS 14:64 Armed Robbery",
41,ORLEANS,34 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,47 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,64 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,62 years,"RS 14:27 Attempt/ 14:34 Armed Robbery, RS 14:64 Armed Robbery, RS 14.27 Attempt/ RS 14:64.1 First Degree Robbery, RS 14:27 Attempt / 14.31 Manslaughter",
41,ORLEANS,51 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,36 years,RS 14.27 Attempt/ 14:30 First Degree,
41,ORLEANS,79 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,78 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,61 years,RS 14:64 Armed Robbery,
41,ORLEANS,60 years,RS 14.42 Aggravated Rape / First Degree Rape,
41,ORLEANS,56 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,36 years,RS 14.31 Manslaughter,
41,ORLEANS,30 years,"RS 14:64 Armed Robbery, RS 14:30.1 Second Degree Murder, RS 14:34.1 Second Degree Battery",
41,ORLEANS,60 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,51 years,RS 14:30.1 Second Degree Murder,
41,ORLEANS,62 years,RS 14:64 Armed Robbery,
